title,content,sentiment_chunks,title_sentiment,content_sentiment
PTI brands planning minister 'Goebbels',"US
PTI leaders were on Thursday denied access to party founder Imran Khan at Adiala Jail
Reacting to the planning minister's statement, a PTI spokesperson accused him of trying to become the 'Goebbels' of what he called a 'mandate theft' government.
The spokesperson said the economic destruction under Ahsan Iqbal and his associates was unprecedented, and claimed the public understands the economy better than the ministers of the current government.
He stated that for the past three years, the people have suffered due to the incompetence and poor decision-making of those in power. ""The public cannot be misled by manipulated statistics, nor can those responsible for the economic collapse escape accountability,"" he added.
The PTI spokesperson said citizens are the direct victims of the government's destructive policies, and have already rejected the current rulers. ""Every segment of society sees the recent federal budget as a cruel joke,"" he asserted.
He said that the only viable path forward is to hand over the reins of government and the economy to the true representatives of the people.
PTI leaders denied access to Imran
PTI leaders were on Thursday denied access to party founder Imran Khan at Adiala Jail.
Talking to the media outside the prison, Member of National Assembly Nisar Jatt said the administration did not allow PTI leaders to meet Imran Khan, even though they had fulfilled all formalities. He criticized the Punjab government for what he called ""destroying farmers, labourers, traders and industrialists"".
PTI leader Alamgir Khan said the way PTI founder Imran Khan is being treated, Indian spy Kulbhushan Jadhav was not. ""We have no other option but to take recourse to road protests and peaceful resistance,"" said Alamgir Khan, adding, ""We won't refrain from waging a peaceful struggle.""
He said the PTI leaders were not allowed to meet Imran Khan. It made a new chapter of fascism. It is all happening after the passage of the 26 Amendment. The party leaders, family members and lawyers are being denied access to the imprisoned PTI founder.
Later, the PTI leaders returned peacefully from the prison facility.
COMMENTS","['NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'POSITIVE']",['NEGATIVE'],NEGATIVE
Title not found,Content not found,['NEGATIVE'],['NEGATIVE'],NEGATIVE
"Imad urges Babar, Rizwan's inclusion in T20 squad","BR
He highlighted the need for adaptability and a fresh mindset in T20 cricket
Former Pakistan all-rounder Imad Wasim has expressed his strong support for star batter Babar Azam and former T20I captain Mohammad Rizwan, urging critics to trust their capabilities in the T20 format.
Speaking in a recent interview with a local sports platform, Imad highlighted the need for adaptability and a fresh mindset in T20 cricket.
""Simple is that — that should be the message and if they are willing to change it, if they want to play happy for them because they are such big players such big names for Pakistan and fans because people want to see them play like this and I am specifically talking about T20 cricket,"" Imad stated.
Responding to recent debates surrounding Babar Azam's role in the national side, the 36-year-old clarified that his earlier comments were specifically focused on T20 cricket and not a critique of Babar's performances in other formats.
""I am not talking about ODI or Test cricket because in ODI cricket Babar has got the best record in the world he will never be dropped to be honest and even in Test cricket so no question about Babar's performance like it's 50-over format you need some players to play like that and Babar does it better than anyone else in the world so One-Day cricket is totally different,"" he explained.
Imad further stressed the importance of introspection among senior players when it comes to the T20 format.
""But T20 I am talking about, I think they need to reflect if they they want to play T20 cricket and I know they can play and hopefully they will turn up and prove everybody wrong and I should be the one who will praise them,"" he concluded.
For the unversed, Babar Azam — who led Pakistan in three consecutive ICC Men's T20 World Cups (2021, 2022, and 2024) — last played a T20I in December 2023.
Since then, he has missed both the home series against New Zealand in March and the ongoing three-match T20I series against Bangladesh, which began on May 28 in Lahore.
Babar, who has faced criticism for his dip in form in T20Is, has not scored a half-century since his 75-run innings against Ireland in May 2023. He has represented Pakistan in 128 T20Is, scoring 4,223 runs at an average of 39.83, including three centuries and 36 fifties.
Earlier this year, both Babar and Rizwan were left out of the five-match T20I series in New Zealand as selectors looked to give opportunities to younger players. The duo has yet to return to the T20I setup since then.
In a notable change, Mohammad Rizwan was recently removed from the T20I captaincy after leading the side in just two series.
All-rounder Salman Ali Agha was named the new skipper and recently guided Pakistan to a dominant 3-0 series win over Bangladesh in Lahore.
COMMENTS","['POSITIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE', 'NEGATIVE', 'NEGATIVE', 'POSITIVE']",['POSITIVE'],POSITIVE
Title not found,Content not found,['NEGATIVE'],['NEGATIVE'],NEGATIVE
Asim and Merub end engagement with grace,"US
Joint statement on IG requests privacy
Singer Asim Azhar and actor Merub Ali have officially ended their engagement, the couple confirmed via Instagram on Thursday.
In a heartfelt joint statement posted to his Instagram Stories, the Radd singer wrote: ""We hope this message finds you well. We wanted to take a moment to share something personal, as we believe we owe that to those who have supported us — fans, friends, and well-wishers.""
""After a great deal of thought and reflection,"" he continued, ""Merub and I have chosen to move forward on separate paths peacefully and mutually. While we shared meaningful moments and genuinely hoped for a future together, life sometimes takes its own course.""
Asim, who got engaged to the Sinfe Aahan actor in 2021, emphasised that the separation was amicable. ""We have the utmost respect for each other and the families involved, and always will,"" he wrote, requesting fans and media for privacy during this period.
The announcement concluded with a note of gratitude: ""Thank you for your continued support.""
The pair had long kept their relationship largely private, occasionally sharing glimpses of their bond on social media. Even before they confirmed their relationship status in 2021, the duo had been fuelling the rumour mill for quite some time.
Shortly before the engagement announcement, Asim took to X to clarify that he had never labelled Merub as his ""sister"", as was allegedly being claimed by some based on a doctored screenshot.
He wrote, ""To all reposting a screenshot of a 'news channel' that said I had labelled Merub as my sister [because] of a fake chat a fan had made, I clarified it a year ago."" The singer continued, ""Reminder, since this is a beautiful moment of my life that I want to cherish. Doosre ki khushi mai khush hona chahiye [You should be happy for others].""
He went on to add in a separate post, ""Clarification was important because the narrative was disgusting. Anyways, baaki sab ko mithaai jald hi ghar pohanch jayegi [the mithai will reach everyone else's homes soon]. I love you guys. Thank you for the love and duas.""
Merub also took to her Instagram story to request people to steer clear of spreading rumours for the sake of gossip. She wrote, ""Please refrain from spreading false info, fake dates and especially refrain from bringing other humans down to celebrate us,"" in a possible nod to fans bullying actor Hania Aamir, whom Asim previously dated.
COMMENTS","['POSITIVE', 'POSITIVE', 'POSITIVE', 'NEGATIVE', 'POSITIVE', 'NEGATIVE', 'NEGATIVE']",['POSITIVE'],POSITIVE
Title not found,Content not found,['NEGATIVE'],['NEGATIVE'],NEGATIVE
Govt moves to fix teacher shortage,"US
The education minister also stressed the government's commitment to digital learning
Khyber-Pakhtunkhwa Minister for Education, Faisal Khan Tarakai, has announced a series of measures to tackle the shortage of teachers across the province.
Speaking to the media, he stated that recruitment of teachers through the Educational Testing and Evaluation Agency (ETEA) is currently underway to ensure merit-based hiring of qualified educators.
Under the Double Shift School Program, teachers are also being appointed on a temporary basis via Parent-Teacher Councils. Additionally, recruitment is ongoing in various districts under a UNICEF-supported initiative. The minister further revealed that interns are also being hired this year under a new scheme to support schools facing acute shortages.
Emphasizing the importance of teacher presence in classrooms, Minister Tarakai said, ""Every classroom must have a teacher — this is non-negotiable. We are committed to ensuring the availability of at least one teacher in each classroom across the province.""
He also highlighted the role of the Education Management Information System (EMIS), stating that comprehensive teacher data is being collected to guide effective planning and deployment. ""We are focusing heavily on teacher training, and have finalized an agreement with the University of Cambridge to provide professional development for newly recruited teachers through ETEA,"" he added.
The education minister also stressed the government's commitment to digital learning, stating that e-books and digital resources are being prioritized.
""Tablets and internet connectivity will be integrated into the education system. We are modernizing our infrastructure to ensure that our children are equipped to meet the demands of the 21st century,"" said Tarakai.
COMMENTS","['POSITIVE', 'NEGATIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE']",['NEGATIVE'],POSITIVE
IHC rules telecom's tower deal taxable,"US
Orders telecom operator to pay Rs22b in taxes on transactional gain
A Division Bench of the Islamabad High Court (IHC), led by Justice Babar Sattar, has recently delivered a significant ruling in favour of revenue in a tax reference filed by a major telecom operator.
The ruling upholds the powers and jurisdiction of the Federal Board of Revenue (FBR) in assessing tax liability on a high-value intra-group transaction involving the transfer of telecom operator's tower assets. As a result, the telecom operator is now liable to pay taxes amounting to approximately Rs22 billion ($78 million) on its gain from the transaction.
The landmark case focused on a 2018 internal asset reorganisation, where the Telecom Operator transferred its nationwide tower infrastructure to its wholly owned subsidiary.
The disposal of these assets for Rs98.5b ($940m) by the telecom operator was recorded in its financial statements as an accounting gain of approximately Rs75.9b. However, the telecom operator contended that the transaction was not taxable because the asset was disposed of to its wholly owned subsidiary, according to section 97(1) of the Income Tax Ordinance, 2001 (ITO) concerning intra-group transfers.
The IHC dismissed the petitioner's argument, stating that the provision permits a tax-neutral event only if all conditions of section 97 of the ITO are met. This includes ensuring that the written-down value of the transferred asset remains unchanged in the hands of the transferee compared to the transferor, meaning the transaction should not generate any economic value leading to taxable income. The Court determined that the transaction was conducted at a fair market value of USD 940 million, accepted by the petitioner as consideration, thereby violating section 97 of the ITO.
Consequently, the court concluded that the gain from the transaction was clearly a taxable event since nothing remained to defer taxation to a later date. Additionally, the Court ruled that the Commissioner had the authority to consider accounting income when evaluating taxable income.
This remarkable success of the FBR on judicial front is another step toward accomplishment of vision of the Hon'ble Prime Minister for expeditious liquidation of state revenue involved in the cases pending before the various appellate fora.
Under the guidance of Rashid Mehmood, Chairman of the FBR, Legal Wing of the FBR headed by Mir Badshah Khan Wazir, Member (Legal IR) in association with Director General (Law) has already taken a number of initiatives to actively pursue the pending cases by providing proper assistance to the courts.
COMMENTS","['POSITIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'POSITIVE', 'POSITIVE']",['NEGATIVE'],NEGATIVE
Title not found,Content not found,['NEGATIVE'],['NEGATIVE'],NEGATIVE
Taxman told to enhance skills,"US
NA panel wants online platform to determine assets
In a major development, a National Assembly panel on Thursday linked approval of legal amendments to ban economic transactions by ineligible persons with tax machinery's ability to develop an independent and credible online platform to determine real value of people's assets.
The condition came a day after Finance Minister Muhammad Aurangzeb said that the government may have to take Rs500 billion worth more tax measures, if the National Assembly did not approve the law to ban the economic transactions.
The committee would not pass the amendments related to the economic transactions until the members are satisfied that the Federal Board of Revenue has developed an independent and reliable online platform to assess people's assets, said Standing Committee on Finance Chairman Syed Naveed Qamar.
The government has proposed that only those people can buy cars, plots, invest in securities who have sufficient declared white legal resources to buy these assets and maintain bank accounts
The finance minister again reiterated on Thursday that the IMF has accepted Rs389 billion in collections on account of improved enforcement in the next fiscal year and for that the new legal powers were needed.
The National Assembly Standing Committee on Finance had last month linked the approval of the bill to ban economic transactions with the government's ability to develop a credible online mechanism where the eligibility criterion can be independently determined and verified without harassment by the taxmen.
PPP's MNA Mirza Ikhtiar Baig raised the issue of first assessing the credibility of the new platform to make sure that the taxpayers are not harassed by the FBR.
Finance Secretary Imdad Ullah Bosal announced before the committee that the government has decided to give a 50% special relief allowance to all officers of the armed forces and 20% to other soldiers, in a move that acknowledges their contributions in defense of the nation.
This brings the total increase in the salaries of officers of the armed forces to 60% and to 30% for other soldiers after incorporating the impact of the regular increase in their salaries announced on June 10.
The announcement was made before the National Assembly Standing Committee on Finance and Revenue that on Thursday began discussions on the Finance Bill 2026, which is the real budget.
The government has given special relief allowance equal to 50% of the basic pay scale to the officers and 20% to junior commissioned officers and soldiers, said the Secretary Finance.
The Leader of the Opposition in the National Assembly Omar Ayub Khan, who is also a member of the standing committee, asked about the fiscal impact of the special relief.
COMMENTS","['NEGATIVE', 'NEGATIVE', 'POSITIVE', 'NEGATIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE', 'NEGATIVE']",['POSITIVE'],NEUTRAL
